No.,txn,taxon,max_age,min_age,FA_lb,FA_ub,LA_lb,LA_ub,No.,taxon,max_age,min_age,,taxon,max_age,min_age
55,79,Lophoblastus_neglectus,82.3,80.3,350.9,348.9,350.9,348.9,79,Lophoblastus_neglectus,353.8,342.8,TRUE,Lophoblastus_neglectus,350.9,348.9
56,80,Leptoschisma_lorae,149,148.1,417.6,416.75,417.6,416.75,80,Leptoschisma_lorae,416,412.3,TRUE,Leptoschisma_lorae,417.6,416.75
57,81,Mesoblastus_crenulatus,90.7,89.4,359.3,358,350.9,348.9,81,Mesoblastus_crenulatus,360.7,353.8,TRUE,Mesoblastus_crenulatus,359.3,358
58,82,Metablastus_wortheni,78.1,75.2,346.75,343.8,343.8,338.9,82,Metablastus_wortheni,345,336,TRUE,Metablastus_wortheni,346.75,343.8
59,83,Monadoblastus_granulosus,83.6,83.4,352.2,352,352.2,352,83,Monadoblastus_granulosus,360.7,342.8,TRUE,Monadoblastus_granulosus,352.2,352
60,84,Monoschizoblastus_rofei,64.7,64.3,333.3,332.95,333.3,332.95,84,Monoschizoblastus_rofei,345.3,345,TRUE,Monoschizoblastus_rofei,333.3,332.95
61,85,Nucleocrinus_elegans,116.7,115.5,385.3,384.1,380.9,380.3,85,Nucleocrinus_elegans,388.1,383.7,TRUE,Nucleocrinus_elegans,385.3,384.1
62,86,Notoblastus_brevispinus,0.3,0,268.95,268.6,268.95,268.6,86,Notoblastus_brevispinus,295,290.1,TRUE,Notoblastus_brevispinus,268.95,268.6
63,87,Orbiblastus_hoskyni,79,78.1,347.6,346.75,347.6,346.75,87,Orbiblastus_hoskyni,360.7,353.8,TRUE,Orbiblastus_hoskyni,347.6,346.75
64,88,Orophocrinus_stelliformis,82.3,81.8,350.9,350.4,350.9,348.9,88,Orophocrinus_stelliformis,376.1,339.4,TRUE,Orophocrinus_stelliformis,350.9,350.4
65,89,Pentremitidea_paillettei,133.4,131.8,402,400.4,400.05,396.9,89,Pentremitidea_paillettei,391.9,383.7,TRUE,Pentremitidea_paillettei,402,400.4
66,90,Perittoblastus_liratus,78.1,76.5,346.75,345.1,346.75,343.8,90,Perittoblastus_liratus,353.8,345,TRUE,Perittoblastus_liratus,346.75,345.1
67,91,Phaenoblastus_caryophyllatus,82.3,80.3,350.9,348.9,350.9,348.9,91,Phaenoblastus_caryophyllatus,360.7,353.8,TRUE,Phaenoblastus_caryophyllatus,350.9,348.9
68,92,Placoblastus_obovatus,112.3,111.7,380.9,380.3,380.9,380.3,92,Placoblastus_obovatus,388.1,383.7,TRUE,Placoblastus_obovatus,380.9,380.3
69,93,Pleuroschisma_lycorias,115.5,114.5,384.1,383.1,384.1,380.3,93,Pleuroschisma_lycorias,360.7,318.1,TRUE,Pleuroschisma_lycorias,384.1,383.1
70,94,Polydeltoideus_enodatus,155.2,154.5,423.8,423.1,422.75,419,94,Polydeltoideus_enodatus,422.9,416,TRUE,Polydeltoideus_enodatus,423.8,423.1
71,95,Poroblastus_granulosus,78.1,75.2,346.75,343.8,346.75,343.8,95,Poroblastus_granulosus,360.7,345.3,TRUE,Poroblastus_granulosus,346.75,343.8
72,96,Pterotoblastus_gracilis,21.9,14.7,290.5,283.3,290.5,283.3,96,Pterotoblastus_gracilis,290.1,279.5,TRUE,Pterotoblastus_gracilis,290.5,283.3
73,97,Pentremites_godoni,64.8,62.5,333.4,331.1,331,323.4,97,Pentremites_godoni,339.4,318.1,TRUE,Pentremites_godoni,333.4,331.1
74,98,Pentremites_pulchellus,66.9,65.8,335.55,334.4,334.4,331,98,Pentremites_pulchellus,336,326.4,TRUE,Pentremites_pulchellus,335.55,334.4
75,99,Pinguiblastus_tushanensis,90.7,82.3,359.3,350.9,359.3,350.9,99,Pinguiblastus_tushanensis,360.7,345.3,TRUE,Pinguiblastus_tushanensis,359.3,350.9
76,100,Sagittoblastus_wanneri,17.4,14.7,286,283.3,286,283.3,100,Sagittoblastus_wanneri,290.1,279.5,TRUE,Sagittoblastus_wanneri,286,283.3
77,101,Schizoblastus_sayi,79.9,78.1,348.5,346.75,347.6,346.75,101,Schizoblastus_sayi,360.7,345.3,TRUE,Schizoblastus_sayi,348.5,346.75
78,102,Sinopetaloblastus_jinxingae,101.4,98.2,370,366.85,369,366,102,Sinopetaloblastus_jinxingae,376.1,360.7,TRUE,Sinopetaloblastus_jinxingae,370,366.85
79,103,Tanaoblastus_roemeri,86.5,83.4,355.15,352,355.15,352,103,Tanaoblastus_roemeri,360.7,352.8,TRUE,Tanaoblastus_roemeri,355.15,352
80,104,Timoroblastus_coronatus_constrictus,21.9,14.7,290.5,283.3,290.5,283.3,104,Timoroblastus_coronatus_constrictus,290.1,279.5,TRUE,Timoroblastus_coronatus_constrictus,290.5,283.3
81,105,Tricoelocrinus_woodmani,75.2,74.3,343.8,342.9,340.15,338.9,105,Tricoelocrinus_woodmani,345,336,TRUE,Tricoelocrinus_woodmani,343.8,342.9
82,106,Troosticrinus_reinwardti,162,160.7,430.6,429.35,424.6,423.8,106,Troosticrinus_reinwardti,428.2,418.7,TRUE,Troosticrinus_reinwardti,430.6,429.35
107,107,Stephanocrinus_angulatus,164.4,163.2,433.05,431.85,430.6,426.75,107,Stephanocrinus_angulatus,428.2,422.9,TRUE,Stephanocrinus_angulatus,433.05,431.85
83,108,Cupulocorona_gemmiformis,164.4,163.5,433.05,432.1,431.75,431.1,108,Cupulocorona_gemmiformis,428.2,426.2,TRUE,Cupulocorona_gemmiformis,433.05,432.1
,109,Cheirocystis_fultonensis,182.6,182.5,451.2,451.15,451.2,451.15,109,Cheirocystis_fultonensis,460.9,449.5,TRUE,Cheirocystis_fultonensis,451.2,451.15
